dt,maxco,nx,ncells,nlayers,tsr,cp,cd,yplus_min,yplus_max,yplus_mean,ddt_scheme
0.002,nan,30,16061,20,1.8987035314168526,0.3364517209218765,1.2665689172272094,3.372001258,3.862271301,3.854498235,Euler
0.002,nan,35,19215,20,1.8987035314168526,0.399926927187059,1.273954823042881,3.153690649,28.39038731,4.259096304,Euler
0.002,nan,40,23540,20,1.8987035314168526,0.4320656167364339,1.2990677547532536,2.916283701,3.344825318,3.340061843,Euler
0.002,nan,45,27539,20,1.8987035314168526,0.4496505553761095,1.2915395280293913,2.87639279,3.15353185,3.149961203,Euler
0.002,nan,50,32196,20,1.8987035314168526,0.46029980879843974,1.300319163124798,2.696407267,2.991703678,2.988541266,Euler
0.002,nan,55,36305,20,1.8987035314168526,0.4836713758160879,1.3006183141466376,2.55030969,2.852477474,2.849739431,Euler
0.002,nan,60,41451,20,1.8987035314168526,0.5043111129300866,1.305496756621892,2.464188394,2.731037491,2.729077852,Euler
0.002,nan,65,46613,20,1.8987035314168526,0.5071339434025856,1.3102354189967398,2.333781772,2.623895594,2.622039725,Euler
0.002,nan,70,51699,20,1.8987035314168526,0.5092653379409412,1.3035309781263065,2.349817562,2.52845114,2.527016766,Euler
0.002,nan,75,57615,20,1.8987035314168526,0.5042227784166347,1.2975542530990472,2.213221144,2.442714304,2.441358237,Euler
0.002,nan,80,63367,20,1.8987035314168526,0.5045012324426491,1.2983093314196377,2.205032368,2.365162986,2.364063308,Euler
0.002,nan,85,70028,20,1.8987035314168526,0.4999951273098777,1.2953250567151806,2.125813652,2.294532064,2.293507752,Euler
0.002,nan,90,76003,20,1.8987035314168526,0.49308033495318615,1.2896700082937869,2.046008515,2.2298826,2.228877549,Euler
