dt,maxco,nx,ncells,nlayers,tsr,cp,cd,yplus_min,yplus_max,yplus_mean,ddt_scheme
0.004,nan,70,51699,20,1.898621651848162,0.721288973767391,1.4033714740006131,2.349817562,2.52845114,2.527016766,Euler
0.003,nan,70,51699,20,1.8987919538314524,0.6297211827343931,1.3104443382918718,2.349817562,2.52845114,2.527016766,Euler
0.0025,nan,70,51699,20,1.89883666304136,0.5791096732274921,1.2786029342212932,2.349817562,2.52845114,2.527016766,Euler
0.002,nan,70,51699,20,1.8987035314168526,0.5379074209262098,1.258699638290876,2.349817562,2.52845114,2.527016766,Euler
0.0015,nan,70,51699,20,1.8987308115737453,0.5073369766427861,1.2437571942849497,2.349817562,2.52845114,2.527016766,Euler
0.00125,nan,70,51699,20,1.898785526725254,0.4956411409305626,1.2375270115691648,2.349817562,2.52845114,2.527016766,Euler
0.001,nan,70,51699,20,1.8987919931671449,0.48602540927795057,1.2320846258382527,2.349817562,2.52845114,2.527016766,Euler
0.0009,nan,70,51699,20,1.8987757780775683,0.4840073465761058,1.2314448129953701,2.349817562,2.52845114,2.527016766,Euler
0.0008,nan,70,51699,20,1.8987525742583733,0.482424636090266,1.230811649828548,2.349817562,2.52845114,2.527016766,Euler
0.0007,nan,70,51699,20,1.8987818784580592,0.48126372210926593,1.2306772232176315,2.349817562,2.52845114,2.527016766,Euler
